# index   rtt_flux1   rtt_flux2
934 0.01832 0.01832
935 0.01832 0.05832
936 0.01832 0.01832
937 0.01832 0.01832
938 0.01832 0.05832
939 0.01832 0.01832
940 0.01832 0.01832
941 0.01832 0.05832
942 0.01832 0.01832
943 0.01832 0.01832
944 0.01832 0.05832
945 0.01832 0.01832
946 0.01832 0.01832
947 0.01832 0.05832
948 0.01832 0.01832
949 0.01832 0.01832
950 0.01832 0.05832
951 0.01832 0.01832
952 0.01832 0.01832
953 0.01832 0.05832
954 0.01832 0.01832
955 0.01832 0.01832
956 0.01832 0.05832
957 0.01832 0.01832
958 0.01832 0.01832
959 0.01832 0.05832
960 0.01832 0.01832
961 0.01832 0.01832
962 0.01832 0.05832
963 0.01832 0.01832
964 0.01832 0.01832
965 0.01832 0.05832
966 0.01832 0.01832
967 0.01832 0.01832
968 0.01832 0.05832
969 0.01832 0.01832
970 0.01832 0.01832
971 0.01832 0.05832
972 0.01832 0.01832
973 0.01832 0.01832
974 0.01832 0.05832
975 0.01832 0.01832
976 0.01832 0.01832
977 0.01832 0.05832
978 0.01832 0.01832
979 0.01832 0.01832
980 0.01832 0.05832
981 0.01832 0.01832
982 0.01832 0.01832
983 0.01832 0.05832
984 0.01832 0.01832
985 0.01832 0.01832
986 0.01832 0.05832
987 0.01832 0.01832
988 0.01832 0.01832
989 0.01832 0.05832
990 0.01832 0.01832
991 0.01832 0.01832
992 0.01832 0.05832
993 0.01832 0.01832
994 0.01832 0.01832
995 0.01832 0.05832
996 0.01832 0.01832
997 0.01832 0.01832
998 0.01832 0.05832
999 0.01832 0.01832
1000 0.01832 0.01832
1001 0.01832 0.05832
1002 0.01832 0.01832
1003 0.01832 0.01832
1004 0.01832 0.05832
1005 0.01832 0.01832
1006 0.01832 0.01832
1007 0.01832 0.05832
1008 0.01832 0.01832
1009 0.01832 0.01832
1010 0.01832 0.05832
1011 0.01832 0.01832
1012 0.01832 0.01832
1013 0.01832 0.05832
1014 0.01832 0.01832
1015 0.01832 0.01832
1016 0.01832 0.05832
1017 0.01832 0.01832
1018 0.01832 0.01832
1019 0.01832 0.05832
1020 0.01832 0.01832
1021 0.01832 0.01832
1022 0.01832 0.05832
1023 0.01832 0.01832
1024 0.01832 0.01832
1025 0.01832 0.05832
1026 0.01832 0.01832
1027 0.01832 0.01832
1028 0.01832 0.05832
1029 0.01832 0.01832
1030 0.01832 0.01832
1031 0.01832 0.05832
1032 0.01832 0.01832
1033 0.01832 0.01832
1034 0.01832 0.05832
1035 0.01832 0.01832
1036 0.01832 0.01832
1037 0.01832 0.05832
1038 0.01832 0.01832
1039 0.01832 0.01832
1040 0.01832 0.05832
1041 0.01832 0.01832
1042 0.01832 0.01832
1043 0.01832 0.05832
1044 0.01832 0.01832
1045 0.01832 0.01832
1046 0.01832 0.05832
1047 0.01832 0.01832
1048 0.01832 0.01832
1049 0.01832 0.05832
1050 0.01832 0.01832
1051 0.01832 0.01832
1052 0.01832 0.05832
1053 0.01832 0.01832
1054 0.01832 0.01832
1055 0.01832 0.05832
1056 0.01832 0.01832
1057 0.01832 0.01832
1058 0.01832 0.05832
1059 0.01832 0.01832
1060 0.01832 0.01832
1061 0.01832 0.05832
1062 0.01832 0.01832
1063 0.01832 0.01832
1064 0.01832 0.05832
1065 0.01832 0.01832
1066 0.01832 0.01832
1067 0.01832 0.05832
1068 0.01832 0.01832
1069 0.01832 0.01832
1070 0.01832 0.05832
1071 0.01832 0.01832
1072 0.01832 0.01832
1073 0.01832 0.05832
1074 0.01832 0.01832
